TESEX,edtime,classdeg,classoth,exc,hw,reg,read,comp_games,working,caretaking,faminc,faminc_cat,race,race_num,GEREG,GESTFIPS,weekday,weekday_num,TUYEAR,TUMONTH,TESCHLVL,TUFINLWGT
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,3.0,1.0,Black,3,3,48,Weekend,1,2003,1,2,1226187.425354
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,White,2,3,48,Weekend,1,2003,1,1,2367355.491119
2,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,20.0,0.0,12.0,3.0,White,2,3,48,Weekend,1,2003,1,1,2246522.915446
2,480.0,480.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,8.0,2.0,Black,3,3,48,Weekday,2,2003,1,1,11292722.81971
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,White,2,3,48,Weekday,2,2003,1,2,8040626.130596
1,409.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,White,2,3,48,Weekday,2,2003,1,1,3270701.424539
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,Asian,5,3,51,Weekend,1,2003,1,2,2411074.43779
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,White,2,3,51,Weekend,1,2003,1,1,1940223.58403
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,3.0,Black,3,4,53,Weekend,1,2003,1,2,1839150.9435
2,135.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,14.0,4.0,White,2,4,53,Weekday,2,2003,1,1,9470419.391127
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,10.0,2.0,Other,6,4,53,Weekend,1,2003,1,1,2433252.263196
1,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,,3.0,White,2,3,54,Weekday,2,2003,1,1,4493236.561736
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,7.0,1.0,White,2,2,55,Weekend,1,2003,1,2,2411721.480602
1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,9.0,2.0,White,2,2,55,Weekend,1,2003,1,2,1435949.726898
